a2,a1,txt,t,id,fs,n,ts,v,coordinate_x,coordinate_y
400AGL,SFC,"NOTAM UAS Operating Area PRC 12/020 
DEFINED AS 9NM RADIUS OF 321101N1091618W (30.8NM WSW LSB) 
SFC-8510FT (SFC-400FT AGL) DLY 0000-2359 2412040000-2512032359.",drotam,560792994,1733270400,PRC 12/020,1764806340,12/4 00:00Z to 12/3 23:59Z,32.183611111111105,-109.27166666666666
400AGL,SFC,"NOTAM UAS Operating Area OLS 12/002 
DEFINED AS 312002N1104503W TO 313003N1104519W TO 313005N1111627W TO 312350N1111624W TO 312014N1110432W TO 312002N1104505W TO POINT OF ORIGIN 
SFC-7610FT (SFC-400FT AGL) DLY 0000-2359 2412060000-2503312359.",drotam,560793071,1733443200,OLS 12/002,1743465540,12/6 00:00Z to 3/31 23:59Z,31.333888888888886,-110.75083333333333
400AGL,SFC,"NOTAM UAS Operating Area CXO 12/267 
DEFINED AS 300219N1020614W TO 295906N1020616W TO 295903N1020504W TO 294710N1020652W TO 294607N1014555W TO 295432N1014539W TO POINT OF ORIGIN 
SFC-2670FT (SFC-400FT AGL) 2412131300-2412192300.",drotam,560792897,1734094800,CXO 12/267,1734649200,12/13 13:00Z to 12/19 23:00Z,30.038611111111113,-102.10388888888889
400AGL,SFC,"NOTAM UAS Operating Area CXO_12/266 
DEFINED AS  300848N1022433W  (11.8NM WNW 6R6) TO 295215N1021907W (11.9NM SSW 6R6) TO  294710N1020652W (16.4NM SSE 6R6) TO 295903N1020504W (7.7NM ESE 6R6)  TO 295906N1020616W (6.8NM ESE 6R6) TO 300219N1020614W (5.7NM E 6R6)  TO POINT OF ORIGIN  
SFC-3710FT (SFC-400FT AGL)  202412131300-202412192300.",drotam,560792939,1734094800,CXO_12/266,1734649200,12/13 13:00Z to 12/19 23:00Z,30.146666666666665,-102.40916666666668
400AGL,SFC,"NOTAM UAS Operating Area ABQ 09/317 
DEFINED AS 312725N1101725W TO 312725N1094528W TO 312000N1094528W TO 312000N1101725W TO POINT OF ORIGIN 
SFC-9870FT (SFC-400FT AGL) DLY 0000-2359 2410010000-2501302359.",drotam,560792972,1727740800,ABQ 09/317,1738281540,10/1 00:00Z to 1/30 23:59Z,31.456944444444442,-110.29027777777777
400AGL,SFC,"NOTAM UAS Operating Area PRC_06/129 
DEFINED AS  8NM RADIUS OF TFD314012 (7NM NW A39)  
SFC-400FT AGL 1806212107-PERM.",drotam,560792977,1529615220,PRC_06/129,0,6/21 21:07Z until further notice,,
400AGL,SFC,"NOTAM UAS Operating Area PDT_11/016 
DEFINED AS  7NM RADIUS OF PDT  
SFC-2480FT (SFC-400FT AGL)  202412010001-202502282359.",drotam,560793114,1733011260,PDT_11/016,1740787140,12/1 00:01Z to 2/28 23:59Z,,
400AGL,SFC,"NOTAM UAS Operating Area ABQ 09/077 
DEFINED AS 312000N1104500W TO 312857.60N1104500W TO 312857.60N1102603.40W TO 312202N1101750W TO 312000N1101750W TO POINT OF ORIGIN 
SFC-9870FT (SFC-400FT AGL) DLY 0000-2359 2409100000-2412312359.",drotam,560792981,1725926400,ABQ 09/077,1735689540,9/10 00:00Z to 12/31 23:59Z,31.333333333333332,-110.75
400AGL,SFC,"NOTAM UAS Operating Area GRR 12/551 
DEFINED AS 7NM RADIUS OF 425748.90N0854007.20W (6.3NM E 08C) 
SFC-1260FT (SFC-400FT AGL) 2412161130-2412171130.",drotam,560793234,1734348600,GRR 12/551,1734435000,12/16 11:30Z to 12/17 11:30Z,,
400AGL,SFC,"NOTAM UAS Operating Area HUF 02/002 
DEFINED AS 7NM RADIUS OF 403329.80N0853923.70W (4.2NM NNE MZZ) 
SFC-1340FT (SFC-400FT AGL) DLY 0000-2359 2402020000-2412312359.",drotam,560793265,1706832000,HUF 02/002,1735689540,2/2 00:00Z to 12/31 23:59Z,,
6000,SFC,"NOTAM UAS Operating Area OAK_12/157 
DEFINED AS  7NM RADIUS OF 365423N1215041W (3NM SW WVI)  
SFC-6000FT (SFC-6010FT AGL) DLY 1500-0200 202412161500-202412220200.",drotam,560793201,1734361200,OAK_12/157,1734832800,12/16 15:00Z to 12/22 02:00Z,36.906388888888884,-121.84472222222222
1200,SFC,"NOTAM UAS Operating Area CXO_11/710 
DEFINED AS  261847N0983333W (16.8NM SE 67R) TO 261520N0983521W (17.2NM SE 67R) TO 261410N0984019W (14.7NM SSE 67R) TO 262102N0984846W (4.7NM SSE 67R) TO 262056N0985354W (5.2NM SSW 67R) TO 262336N0990213W (10.4NM W 67R) TO 262327N0990515W (13NM W 67R) TO 262605N0990711W (14.6NM W 67R) TO 263142N0990505W (14.2NM NW 67R) TO POINT OF ORIGIN  
SFC-1200FT (SFC-1110FT AGL) 202411302040-202412300600.",drotam,560793211,1732999200,CXO_11/710,1735538400,11/30 20:40Z to 12/30 06:00Z,26.313055555555557,-98.55916666666667
400AGL,SFC,"NOTAM UAS Operating Area PRC_11/357 
DEFINED AS  6.5NM RADIUS OF 332652N1121711W (4.7NM ENE GYR)  
SFC-2220FT (SFC-400FT AGL)  DLY 1400-0100 202411301400-202412310100.",drotam,560793006,1732975200,PRC_11/357,1735606800,11/30 14:00Z to 12/31 01:00Z,33.44777777777777,-112.2863888888889
400AGL,SFC,"NOTAM UAS Operating Area CLL_11/049 
DEFINED AS  6.5NM RADIUS OF 303536N0961705W (4.1NM E CLL)  
SFC-780FT (SFC-400FT AGL)  DLY 1200-2359 202412011200-202412312359.",drotam,560793005,1733054400,CLL_11/049,1735689540,12/1 12:00Z to 12/31 23:59Z,30.593333333333334,-96.28472222222221
200AGL,SFC,"NOTAM UAS Operating Area CXO_04/460 
DEFINED AS  6.5NM RADIUS OF 293340N0951928W (.5NM SE T79)  
SFC-320FT (SFC-200FT AGL) 202304201538-202503102359.",drotam,560792940,1682005080,CXO_04/460,1741651140,4/20 15:38Z to 3/10 23:59Z,29.561111111111114,-95.32444444444444
250AGL,SFC,"NOTAM UAS Operating Area GNV_04/005 
DEFINED AS  301602.80N0855930.10W (11.5NM WSW ECP) TO 301837.80N0855846.40W (10.0NM WSW ECP) TO 302315.70N0855843W (9.7NM WNW ECP) TO 302559.70N0861459.30W (11.7NM E DTS) TO 302405.80N0862431.70W (3.3NM E DTS) TO 302249.90N0862447.80W (3.2NM ESE DTS) TO POINT OF ORIGIN  
SFC-330FT (SFC-250FT AGL)  DLY 1200-2200 202404021200-202412312200.",drotam,560793107,1712059200,GNV_04/005,1735682400,4/2 12:00Z to 12/31 22:00Z,,
400AGL,SFC,"NOTAM UAS Operating Area MIA 01/275 
DEFINED AS 1NM EITHER SIDE OF A LINE FM 243752.70N0813532.80W TO 243910.10N0813300W TO 243958.90N0813005.50W TO 243939.20N0812619.30W TO 243934.50N0812509.50W TO 243947.40N0812421W TO 243952.50N0812303.10W TO 244018.30N0812108.40W TO 244000.10N0812023.40W TO 243854.60N0811950W TO 243858.40N0811848W TO 243926.10N0811741.90W TO 243948N0811627.90W TO 243934.70N0811637.30W TO 244117N0811239W TO 244209.70N0810915.40W TO 244243.30N0810539W TO 244352.50N0810130.50W TO 244446.60N0805859.60W TO 244640.20N0805519.60W TO 244831.70N0805013.20W TO 245008.60N0804751.10W TO 245019.80N0804651.20W TO 245006.70N0804535.80W TO 245115.20N0804349.40W TO 245831.50N0803311.20W 
SFC-460FT (SFC-400FT AGL) 2401191540-2501010425.",drotam,560793155,1705678800,MIA 01/275,1735705500,1/19 15:40Z to 1/1 04:25Z,24.688055555555557,-81.21083333333334
400AGL,SFC,"NOTAM UAS Operating Area PRC_12/084 
DEFINED AS  6NM RADIUS OF 324713N1120549W (15NM SW A39)  
SFC-4790FT (SFC-400FT AGL)  202412081915-202412312359.",drotam,560793235,1733685300,PRC_12/084,1735689540,12/8 19:15Z to 12/31 23:59Z,32.786944444444444,-112.09694444444445
400AGL,SFC,"NOTAM UAS Operating Area FTW_06/628 
DEFINED AS  6NM RADIUS OF 320918N1033054W (17.6NM W E26)  
SFC-4080FT (SFC-400FT AGL)  202406171355-202412312359.",drotam,560792836,1718632500,FTW_06/628,1735689540,6/17 13:55Z to 12/31 23:59Z,32.155,-103.515
400AGL,SFC,"NOTAM UAS Operating Area FHU 09/006 
DEFINED AS 314723.30N1104620.30W TO 313757.50N1104416.20W TO 314201.20N1103006.70W TO 315117.80N1103640.30W TO POINT OF ORIGIN 
SFC-7040FT (SFC-400FT AGL) DLY 0000-2359 2409100000-2412312359.",drotam,560793026,1725926400,FHU 09/006,1735689540,9/10 00:00Z to 12/31 23:59Z,,
3000,SFC,"NOTAM UAS Operating Area MIA_12/103 
DEFINED AS  6NM RADIUS OF 273100N0820400W (9.9NM W CHN)  
SFC-3000FT (SFC-2970FT AGL) MON-FRI 1300-2100 202412091300-202412202100.",drotam,560793261,1733749200,MIA_12/103,1734728400,12/9 13:00Z to 12/20 21:00Z,27.516666666666666,-82.06666666666666
12000,SFC,"NOTAM UAS Operating Area PMD_03/024 
DEFINED AS  5NM EITHER SIDE OF A LINE FM PMD061001 TO PMD054011  
SFC-12000FT 1803291300-PERM.",drotam,560793222,1522328400,PMD_03/024,0,3/29 13:00Z until further notice,,
400AGL,SFC,"NOTAM UAS Operating Area ABQ 12/141 
DEFINED AS 313353N1061720W TO 312807N1061241W TO 312348N1060458W TO 312303N1055949W TO 312456N1055755W TO 313711N1061104W TO POINT OF ORIGIN 
SFC-4450FT (SFC-400FT AGL) DLY 0000-2359 2412160000-2501132359.",drotam,560793124,1734307200,ABQ 12/141,1736812740,12/16 00:00Z to 1/13 23:59Z,31.564722222222223,-106.28888888888889
12000,SFC,"NOTAM UAS Operating Area PDT_12/006 
DEFINED AS  5NM RADIUS OF 455136N1190128W (10.3NM ENE HRI)  
SFC-12000FT (SFC-11660FT AGL) 202412052000-202412312300.",drotam,560793293,1733428800,PDT_12/006,1735686000,12/5 20:00Z to 12/31 23:00Z,45.86,-119.02444444444444
12000,SFC,"NOTAM UAS Operating Area PDT_12/002 
DEFINED AS  5NM RADIUS OF 452516N1184207W (17.5NM SSE PDT)  
SFC-12000FT (SFC-10440FT AGL) 202412010431-202412312300.",drotam,560792830,1733027460,PDT_12/002,1735686000,12/1 04:31Z to 12/31 23:00Z,45.42111111111111,-118.70194444444445
10000AGL,SFC,"NOTAM UAS Operating Area ALW_12/001 
DEFINED AS  5NM RADIUS OF 454551N1181653W (18.7NM SE S95)  
SFC-14790FT (SFC-10000FT AGL)  202412010429-202412312300.",drotam,560793028,1733027340,ALW_12/001,1735686000,12/1 04:29Z to 12/31 23:00Z,45.76416666666667,-118.28138888888888
12000,SFC,"NOTAM UAS Operating Area PDT_12/001 
DEFINED AS  5NM RADIUS OF 452907N1190309W (15NM SW PDT)  
SFC-12000FT (SFC-10230FT AGL) 202412010428-202412312300.",drotam,560792828,1733027280,PDT_12/001,1735686000,12/1 04:28Z to 12/31 23:00Z,45.48527777777778,-119.0525
400AGL,SFC,"NOTAM UAS Operating Area ABQ 12/022 
DEFINED AS 2NM EITHER SIDE OF A LINE FM 315835N1102933W TO 315905N1101831W TO 315932N1101250W TO 320122N1100715W TO 320429N1100430W 
SFC-7110FT (SFC-400FT AGL) DLY 0000-2359 2412040000-2512032359.",drotam,560793025,1733270400,ABQ 12/022,1764806340,12/4 00:00Z to 12/3 23:59Z,31.976388888888888,-110.4925
1000AGL,SFC,"NOTAM UAS Operating Area MFE 12/005 
DEFINED AS 261435N0983458W TO 262150N0982816W TO 261243N0982041W TO 260841N0981452W TO 260447N0981542W TO 261153N0982641W TO POINT OF ORIGIN 
SFC-1320FT (SFC-1000FT AGL) DLY 0000-2359 2412030000-2501042359.",drotam,560793098,1733184000,MFE 12/005,1736035140,12/3 00:00Z to 1/4 23:59Z,26.243055555555557,-98.58277777777778
2500AGL,SFC,"NOTAM UAS Operating Area RME_11/006 
DEFINED AS  5NM RADIUS OF RME  
SFC-3790FT (SFC-2500FT AGL)  DLY 1200-2330 202411051200-202503092330.",drotam,560793029,1730808000,RME_11/006,1741563000,11/5 12:00Z to 3/9 23:30Z,,
400AGL,SFC,"NOTAM UAS Operating Area ABQ 02/069 
DEFINED AS 313032N1113729W TO 313536N1113729W TO 312902N1111626W TO 312349N1111626W TO 313030N1113729W TO POINT OF ORIGIN 
SFC-5770FT (SFC-400FT AGL) DLY 0000-2359 2402090000-2412312359.",drotam,560792928,1707436800,ABQ 02/069,1735689540,2/9 00:00Z to 12/31 23:59Z,31.50888888888889,-111.62472222222222
400AGL,SFC,"NOTAM UAS Operating Area GRB_12/160 
DEFINED AS  5NM RADIUS OF C89  
SFC-1230FT (SFC-400FT AGL)  202412111630-202506302359.",drotam,560793281,1733934600,GRB_12/160,1751327940,12/11 16:30Z to 6/30 23:59Z,,
50AGL,SFC,"NOTAM UAS Operating Area PNM_10/150 
DEFINED AS  5NM RADIUS OF 423145N0942410W (9.4NM WSW FOD)  
SFC-1310FT (SFC-50FT AGL)  DLY 1400-0100 202411031400-202503090100.",drotam,560793043,1730642400,PNM_10/150,1741482000,11/3 14:00Z to 3/9 01:00Z,42.52916666666667,-94.40277777777779
